session,corpus
750,"Grey is a very dull and uninteresting color.  How about using the same purple as the figures?  #Also, this paragraph feels like it is in the wrong spot and needs to be moved down and to the right.  "
750,"The large yellow fonts do not match the color of the small yellow fonts ""Room 314 A,"" etc.  I prefer the color of the small fonts, but the two yellows really should be matched.  "
750,The two lines of white text give a nice feeling of contrast and depth next to the two lines of yellow text.  It is almost 3 dimensional.  
753,i believe you should list the dances
754,"I give the design an overall 7 out of 10.# The purple is eye-catching. #The flow is pleasing on the eye. #The information is easy to find once I decide I want to attend. #The graphic conveys dance appropriately. #The logo is not tacky or in-your-face, but appropriately placed. #
To improve the design, I would provide contact information.# I would also replace ""Time/Place"" with something less cumbersome. Perhaps, ""Location.""  #I would also left justify the location details so as not to detract from the graphic of the people dancing. "
755,"I think its odd that you can follow the financial transactions of your friends. I don't really like that and would not want my friends to just be able to track all the money I'm spending.# Thats neat and all but if you can only charge or pay someone if they are signed up it doesn't make sense to use really. #A little plain, lots of white space being used. #Room for extra information maybe.# What is the percentage bar for thatsays getting started? Whats the point of that?"
757,"The words Illini Dancesport Dance Open House 2015 needs to be centered better on the page. It feels odd, particularly with that large empty space under the word Dancesport. #The colors are good, #but the text needs a better layout. #I'd consider maybe moving the logo under Illini to a different part of the image and then centering the main title.# I'd also add some bolding to words like Time/Place and anything else that needs to stand out so make it easier to read."
760,The green is awful. #The image in the center is too big.# It almost looks like a website from 2000. Reminds me of SPAM.
762,The two buttons that say 'pay' and 'charge' are not catchy because of its color. #Both of these can be either the same color or different. #I think these buttons being the most important part of the page can be highlighted either with catching colors or attractive button designs.
763,"It looks easy to use.# I was a little confused by the term ""charge"", you mean you are asking those people for money? Is there another word or phrase that could be used?#
It seems like a good tool for collecting money.# Could you include groups and budgets, such as for a party or group trip?"
766,I feel there should be home button to come back to main home page.#I'm not sure whether the PARKLAND COLLEGE image have the link to comeback to main page.#Design looks simple and easy to navigate.
768,The Poster design is short and simple. #This poster shows every information about the dance show but it is slightly less attractive. #Can improve the attractiveness of the poster by giving some colorful outline borders.
769,I suggest pink background for  this program. It will attract lot of people.
771,They paid them in Poutine? The language kind of doesnt make sense
771,Why should anyone know who paid what? Where is the privacy?
771,"What is this? User driven or venmo driven? If it is a site gimmick to get users to do more stuff on the site, remove it. Its annoying"
771,I like the amount listed here
772,Some of the edges still have white on the image.
772,This blank space seems awkward.
774,"Way too busy and too much information for homepage. #Also, I don't see this appealing to community college students... no marketing appeal to that demographic.# I would change the colors (this looks like hospital green); maybe black and white with splashes of color;# I would go with a more graphic book type of look.#  I would totally eliminate the left hand bottom quarter (Go ahead...) square, just keep the ""go ahead, visit us!"" link.# I would retain ""in the news"" link but eliminate the links under it... same for campus events. #I like the photo but maybe incorporate her picture into a photo of 3 or 4 students to represent community and diversity.# In the ""information"" square I would move""coming to Parkland"" to be first, and ""Information"" second. #All in all I would cut down the amount of verbal information on this first page by at least 50%."
776,gfhgfh
776,hgfhgfh
789,"Pam Davis 
"
789,Scott Scholz
789,"Here you go Scott, hopefully the legalized extortionists in Boise won't get this! "
791,The color green is not good.# The image is very large. Instead it can be utilized for some more information to be given.
794,I feel like this area is too crammed and messy. #you should make this area bigger or take away some of the text here.
794,"I like this picture but you should make the green area that says ""Go Ahead"" smaller and show more of the picture of the girl. "
794,I think the google search bar should be moved to the top of the page.
795,Too much green the lettering is too big in this section
795,Pictures need to show more ethnic diversity to attract those students.
795,I like the fact that this is placed here first on the page.  That is what most people are interested in.
796,The design has no security.  Before transferring money privacy must be provided and money transfer must be in secure mode. Here it is very critical. Please take it in to consideration.
798,I would suggest aligning this time to the left with the other time.
799,"The white on green is a good contradiction in colors, #but the print is so small it's hard to read. Maybe the letter should be enlarged, or in bold to emphasize.# Other than that, the design is minimalist is nature, and it works great. It's easy to see the flow of the page, and is not intrusive."
800,The overall design is very good and to attractive.#Its background design and font is so good .#Overall no need for the improvement
802,Friends' comments area has occupied more room of the page.# It can be fixed size but make scroll-able content. #There would be shown footer giving some more other information.
804,I feel the Pay & Charge tabs should be bigger in size. That just helps a new person understand the important tabs they need to use.#You could also display a list of friends on the page whom they can transfer readily. Something where they can just tick the name & transfer the money cause people generally look at the ease of using the page as well. 
807,"Next to the names for those that transferred money should be the amount that was transferred. For example, ""Tristan paid Stan Brand"" should be ""Tristan paid Stan Brand $XX.XX. #There should also be an icon near the friend's name that denote how much money you transferred to him/her previously, and when that transfer happened."
810,"There is the improvement in the image of the girl is good #but the go ahead grow,  tab bar is not nice.  #You have to change this by wohole image shown and the watermark tobe used for text. "
813,"Pending and approved Transaction label. #A chat window to see our freinds list. #A green icon next to the logged in user , to see if he is online right now. 
"
815,Use a different colored font that will capture more attention and be noticeable. 
815,Move this over to be aligned with the statement below it.
815,"List the ticket price or cost to participate, or state ""Free admission"" if there is no cost."
822,It looks to me like a good design. # It looks user friendly.  #I think it would be a good app to have!
826,Just link contact from social sites #and improving in user interface# making it more appealing by adding animation 
836,I LIKE THE SIMPLISITY# BUT THECOLORS SEEM DRAB TO ME# I AM NOT A FAN OF THE PURPLE CLIP ART
839,i t will be good if you add contact that will import from social sites# and by improving user interface which will appeal more by bringing animation in the page
841,The bottom left of the page is too cluttered and disorganized.# The links are too small to read. #Make the links bigger. #Make the picture of the smiling student smaller.
842,"I think it would be more effective and efficient to list paid/charged status in different colors, to promote at-a-glance recognition."
843,"I'm not sure a ""like"" click is necessary for a pay site.  Perhaps I'm not getting this but it looks to be far more social media than a pay site. # I think there are already many forms of social media out there and my first concern with the social atmosphere I see here would be security...are my details being protected.  Why would I want to know who paid who and why would I want anyone else to know who I paid? # The getting started checklist - the green clashes a bit with the blue/gray theme you have going on.  Maybe use a dark blue color for that?  #The profile picture is yet another security concern.  #On the one hand, it is good to see a photo of who you're dealing with - in this case, friends, but on the other hand, the security concerns outweigh the uniqueness.  "
845,"There should be pictures of college n the picture of  an infrastructure of college.#seeing the different area of college student will get more idea about yhe college n its facilities like sports ground ,cantiness ,lab etc .#it should mention the names of top students n rewiews for better understanding of college .#the design in other ways is good "
846,Move text downard more.
846,Odd negative space. #It is hard to interpert characters.
846,This is not necessary and the slash looks awkward.
847,Why is there a search bar for people when the intended use for this application is for friends to transfer funds to friends. Each person should be given a unique identifier to quickly add someone. This isn't facebook. I shouldn't be able to just look anyone up. 
847,Users should not be allowed to operate accounts without an accurate profile picture.
847,What exactly am I charging someone for?
848,"These texts are very difficult to read, try changing the font."
848,"reduce the size of ""go ahead"""
848,this text can be written little bigger
848,well arranged menu
856,Chatting dashboard can be changed to money conversion rates from one place to another or one country to another can be displayed
858,Maybe include Ballroom in the title
858,"Capitalize FREE
"
858,I would choose another color.  Maybe blue.
858,"Decide on a location
"
858,Leave this heading out.  It looks weird.
858,Line this up with the other time
859,Are you automatically pulling contacts from social media?
859,does a charge effectively just send a request to get paid?
861,"I think it's kind of strange that everyone can see what everyone is paying each other in this app/site. Are some of the transactions private? #This site is usable, but I'm not sure if there's a huge audience for people who want others to see their transactions.# I think having a checklist of who you owe money to would be important rather than a ""PAY"" button in which you have to enter a name into.# It's very necessary to have a list of who owes you what and who you owe.# I also think it'd be nice to have a button in which you can add notes to people. For instance, you can write down who they are if they are just an acquaintance, or you're looking to charge them for something in the future you've already done for them. #Good and simple layout though. "
866,Inefficient use of space.# Organization lacking.# Too many ads.
867,The design is a little boring. It does not draw my attention to the screen.# I think some of the buttons should be in a color other than blue or white like the bar at the top of the screen.# The page itself should be in a color other than white. It seems to be a bit distracting and unable to follow.
868,I think you should change the colors they look a little dual to me you should pick colors that brighten the picture
872,I feel like the site jumps out at you. #ALl the information is nicely stacked on the left. #A mnice motto in the middle. #Some other less than important things on the bottom right if you're new and don't care about. #And some banner ads to visit.# A search bar to quickly find what you need and a quick links navigation bar.# I think it looks fairly nice for that type of site
873,"Better placeholder profile pictures
"
873,FAQ
873,"Clean design that's easy to read.
"
873,Home button not really necessary. 
877,Could have used some lively colors that would spark once excitement. The black background and the other colors used is too dull.
878,"Increase font size, so that it can be easily readable.#
Reduce the size of the picture and give more space to the information.#
When a new news item comes, it  can be placed in the bottom ""as the latest news...."" caption so that it can be easily identified.
"
879,The GO is too big in my opinion
879,"Change the font to make it more exciting!
"
881,The design was exclusive and extraordinary.It is too difficult for anyone too handle.
882,"What is this used for? Do you search for your friends here, or input a dollar amount? 
"
882,"Is there any way to change this so people can't see what I bought? I'm not super comfortable with everyone knowing what my purchases are.
"
882,"Are these friends from linked social media accounts, or friends who are also using this site/app?
"
882,"Why is there ""Public"" group? This is an app/site designed to transfer money between friends; why would I ever want or need to connect to people I don't know? 
"
889,This design is pretty basic and has a great layout to it.# I like this format and layout for this webpage because its easy to read and understand. #There is not a lot of bulk categories that would have you confused about were to navigate to. That's what makes this design good.
890,"It appears very straight forward, lots of green on the page which suggests green is the color for the college. #Has obvious links to figure out where you need to go once you access this page. #It is easy to read and easy to know where to go from there.  "
893,"very small, difficult to read
"
893,Not clear what this area is for.
893,Area should be bigger 
898,"I really like the design, but I think you could spread it out with more colors, instead of throwing green everywhere on the page, #and maybe don't use the logo and what not so many times over the page, it makes it look busy."
899,"Edges look jagged, as if cut out with scissors"
899,Space from the right is not the same as space from the left
899,Too much empty space
900,"Looks decent, #but I'll put ""In the news"" and ""Campus events"" beneath informations on the left."
906,"Time and place options could be left-justified in order to better frame the graphic on the right
"
906,artifacts could easily be cleaned up in illustrator: vectorize graphic for a cleaner look
906,"change to times and places, #add bullet points to show these are different sessions"
907,"The left menu bar is too wide. No need for it to fit the entire logo width.# The bottom graphics on the left look like ads, so I didn't even want to look at them. #You have a header with links, a sidebar with links, and a quick links bar, not to mention all the lengths in the body. #Having actual content on the homepage would be great."
910,"Design not good, should be improve design for this site."
913,"The heading should include the address, or at least the state.
"
913,"Earning full college credit in 8 weeks is an appealing offer, this section should be made a little bigger."
913,This portion should have a slideshow running instead of one stationary photo.
915,"So others can see what money you've transferred to which person?  I don't like that.
"
915,What are they charging them for?  I'm very confused as to the purpose of this site.
915,How safe is this?  And how much does it cost?
915,Really need more info on the page.  What is the purpose?  Why is everyone else able to see what you're doing?  Why are people paying people? How do you do it?
917,"I like the colors,# but would make the silhouettes black  and choose a different background color to avoid the ""floating hand effect."" #Otherwise, I'd continue to use the purple, but would fill in the male dancer's collar, tie, and hand, so that it's a true silhouette. "
918,"I like the design, though there are a few things I would recommend changing.# One, it's a lot of green. #The words at the bottom right could also be a bit bigger and better designed. "
920,"I agree, mention that it is ballroom dance in the title
"
920,I can't read the font either. It should be larger
920,I can't tell what this says as the orange circles cover it
920,May look nicer lined up but it doesn't bother me
920,I agree but I didn't really notice it until I clocked on the comment
920,I didn't have trouble with this
920,I like the black background it looks classy
920,"yeah, FREE would standout out (if capitalized)"
920,"yeah, I think it should wait until the location is established to print these"
920,I might choose white for this
921,"I think it would be better if the woman's shadow was a different color.# The man and woman sort of collide and make them somewhat indistinguishable.# The font is okay, #but I might play with different font styles to see if I could find something classier looking.# Other than that, it's a good poster. I like it. Eye catching."
924,Need more explanation of what this means
924,The title of app should stand out more
924,"Maybe make the ""Pay"" and ""Charge"" buttons a different color"
924,Add a little more depth and personality by changing the background color to something more engaging than white
924,"Not sure why current user, Milford Meade, should be able to see different friends are paying other friends. If this is an Admin view, or this person is in charge of the gathering, then disreard"
928,"Most of it is rather good#,a lthough there's something about the word ""DANCE"" and the picture of the couple dancing itself that seems a little off. For some reason it looks sloppy, and the choice of the shade of purple isn't all that appealing. #The font for DANCE also isn't great, though I do agree it should be bolded and thick lettering. #The purple would probably be best if it were changed to another color, perhaps somewhere between robin egg blue or teal? If you want to keep a cooler shade that is. A warm shade could also be good, and it'd capture your eye immediately against the dark black background.# If you WERE to change the color to something warm, I'd recommend a yellow or an orange, which would also fit well because the date of the event is nearing the end of summer/beginning of fall and orange and yellow are good fall and summer colors. "
930,"I don't think a person needs to know all the transactions between friends. The app should show only what a person pays or charges, that is, only their personal transactions. #
Also, the app needs more colors other than blue and white. It looks a little bland and uninteresting."
931,I would align the time and dates to the left instead of the right.  #Also changing the image of the dancers. Outline them or add more colors
933,I think the purple really draws the attention. #It is easy to know this is for dancing and the wording flows very nicely.
935,"these people are a weird blob, perhaps fused together after a nuclear blast, maybe do something to make them seperate"
935,"lose it, don;t know why its here, looks like a mistake"
937,"This looks similar to Facebook which is not good.
"
937,Peoples pictures should show /they should be required to have one.
938,"I like the ""go Ahead"" theme carried through the page. # The color green does go along with ""Go"", but there is too much of it.  Though it looks like it's a part of your branding, as it's on on the logo.#
""In the News"" and ""Campus Events"" seem bland compared to rest of page.  Need to spice it up, IMHO.#
The ""As You Like It"" ad seems out of place."
939,"I can't tell what this says.
"
940,Use a more contrasting color than gray on a black background. This looks washed out.
940,This has little bits of white pixelation and looks like a poor quality JPEG. I would change this to a vector or something.
940,Make the logo bigger.
940,"Make this larger and stand out more, maybe mimic the purple color that's being used in the graphic."
940,"Make this larger, make it stand out more."
943,The layout is easy to understand and the website seems to be easy to navigate.#  I feel that the layout of the web page and the design could be improved. # It seems kind of like a template was used to create the webpage and the same color is used too much.  #Try varying the colors and a more unique webpage design to set the website apart from others.
945,"It looks well laid-out and professional.# I feel that I'd have no issues navigating the site, as it is very clear. #The color is easy on the eyes and catches attention. #I think it is great as it is and do not have any suggestions for improvement, #but it may be worth stating I have never studied design and love the color green."
954,"The design is visually boring.# It appears that the comments are a chance for folks to interact instead of talking with one another on the phone.# Not sure if this feature is really necessary. #I would like to see some information on this page about how the money transfers/users' information is kept secure.# I might also like a chart or table that shows money transfers, as opposed to a running list of prose; it looks kind of like facebook.# Other than that, it's an intriguing service. "
955,I love everything about this exept for the placing of the time/place... not the Time/Place: at the top but rather the actual listings of them. #I think they are to far to the middle I would have then listed directly below the time/place: .
958,"The overall look is a little cheap.# I really like the ""GO AHEAD"" logo and I would like to see it incorporated into more of the overall design. #The ""GO AHEAD"" logo style feels fresh and exciting. #I would like to see a little less green in the design - #perhaps have the shades of green serve as accent colors."
959,The comment interface looks too generic. It looks like spam.
961,"The silhouette of the man and woman dancing is a little difficult to figure out, so I would use a different graphic. # The colors don't seem to harmonize so I would use a different contrast color than the violet. # Don't Italicize everything in the last paragraph."
963,The text is too small. #There is too much to read and its hard to differentiate between the relative importance of items. 
968,"I like the layout, but I don't like the purple.  It makes the whole thing look dark.  #I think if it had some brighter colors it would stand out more and catch peoples attention. # Maybe the time and place should be a little bigger also. # That should be the main focus in my opinion."
970,I think it would be a good idea to change this picture to a group picture with two or more diverse people.
970,This image of school events should be larger.
970,This image is a bit cluttered and confusing for the home page.# I would suggest placing it on another page. 
970,"The gradient color is a bit distracting here, and also the green. #There's too much green and white everywhere. It's great to see the school colors, but no so much.# Suggest black here. "
970,"Not sure why this section is also gradient, grey, and red.# I think this should actually be black with white text or something along those lines."
971,"Finally, this is much better than using paypal to send money. #Make sure pay and charge has a limit set for it so users can't accidentally enter an extremely high amount by accident.# I don't see an option near it to pick who I want to send money to or charge.# So maybe a list of your friends to choose from would be helpful. Maybe doing it via their profile would be okay, too. #The invitation to friends makes me question whether or not it works because it's just text you click when a button is generally used for a form.# I'm not sure what the checklist is for either, but that's another story."
972,The overall design is bland. The colors are too muted and somber.# The social media icons are defaults and are too generic. #There needs to be some texture to the background and a more interesting font used. #It needs character and the sense that it was created by a human being and not simply typed into an existing website template. #The upper banner needs some depth and the logo is a bit too flat looking also and needs a gradient or something to make it more visually interesting..
975,"Important
"
975,Always important
975,Always want to know when comments I make are public.
975,Knowing who my friends are is important.
975,Comments by friends always important.
977,"This needs to be more dynamic to encourage interest.
"
977,"This should be bigger and brighter.
"
977,"I think the logo should be more prominent.
"
977,"I think this should be in the left hand information section.
"
977,"This could be with the campus events section.
"
977,"I'm not sure what the purpose of this is.  Is it for future students?
"
978,"I think it's a fine flyer, very straight forward, very direct.# The title portion could be a bit larger and #maybe you could do something to make a date time and location a bit more prominent. "
981,"The overall design of the website is very clean and nicely set up. #The page is easy to navigate without too much going on. #You might want to offer a direct link to maps to visit the college. #You also might want to offer a direct hit for employment opportunities on the homepage. I'm not sure if this college offers a specific email opportunity for their current students, but if they do, it might be nice to have a direct link for them to click on and access the web portal. #One more suggestion, if you have any facebook, twitter or other media accounts you might want to offer a ""stay connected option"" at the bottom for people to click on and go directly to seeing your pages."
982,The page appears to be refreshingly uncluttered. #The links are intuitive. I don't feel as though I'd be bumbling around trying to find the relevant information. #The colors are pleasing. #The font size appears to be adequate for most people to read easily.
987,picture was not so attractive
987,design have to improve
987,text was not readable
987,design was not good
990,"The overall color scheme is good,# but the gradient on the left side makes it look a bit cheap.# I'd also recommend reconsidering the font use in the text; this looks slightly unprofessional.# I think there's too much white space in the bottom."
992,"have more of the information and links at the left side of the site and not at the bottom.# i would put the ""get started here"" link at the very top of the page and make the letters much larger. #Also, maybe show more pictures of students and faculty."
1003,have to improve the picture
1003,design was not good
1003,design was not good
1003,cant able to read text
1003,font was too small
1005,The text is too small
1005,I can't read the place!
1005,Does this say TBD?
1005,"The top half of this illustration is good, the bottom is muddled."
1005,"I like the colors but there is too much black/background,"
1014,"At first glance, I am a little confused to be honest. I am not 100% sure of the concept.# I get that you can request money from others or pay others. It seems like a twitter or facebook except it is to send/receive money.# I think the concept appears simple but I'm not sure how many people would want a public newsfeed of this. "
1016,"The design is very attractive and colorful.# The purple color makes it unique and more appealing to me. #And the combination of a black background, purple and yellow is strikingly beautiful.# None of the colors are blinding. #The poster does a great job at alternating the font size and boldness. #The poster mentions all the information that I like to read in such posters, including the exact date, time and place. #And it mentions what it could be expected by attending the dance show including the free dance lessons with 4 styles of ballroom dance. #I sincerely like the poster."
1019,"-Too much 1 color (green  ) #
'-I can't see the add words very well at the bottom left part of the screen (the date) #
'-A ""contact us"" link should be included in the quick links somewhere on the page
"
1020,There are too many side bar announcements. 
1020,The text markers here are small. 
1020,This image space can be better proportioned with respect to the rest of the sections. 
1020,Maybe make these announcements a gallery style section. 
1020,Consider a different color scheme that goes better with the green school colors. 
1022,The background color is fully black and may change that color which is pleasing. #Some decorations to be filled with music instruments and other things which related to the dance show which could exaggerate the advertisement better.
1025,"When the image first came on the screen, my first thought was that it was for Girl Scout Cookies. (Sorry!)# To be honest, this really does not give the impression of an institution of higher learning, but more of a club.# Maybe toning down the color scheme and showing more of a college type image rather than a young girl in a tee shirt would give a better, more formal/professional impression. "
1027,I think a little more color besides black and green would improve things somewhat.# The design is very dull. 
1030,It is good to let the audience know exactly what is going on. 
1030,It is good to get brand name out there. 
1030,It is good placement to let audience know all specific details. 
1030,Change the color. 
1032,The colors does not go well together. #Green color does not suite for this site. #Because of the color the site is not attractive or grab our attention.
1036,"I like the silhouette design.#  I think there is too much empty space for the image, #maybe raise the dancers below the title."
1039,The lay out is pretty basic.# Maybe try adding some more color to the site. #It would be best if there was a couple of default avatars for users. I don't know if it's set to that one avatar just as a placement but I wouldn't use that avatar on the actual site.# The check list section should maybe be actual boxes that are checked off inside of a sliding scale like you have here. #Other than that I am okay with the way this page is set up.
1041,"The color scheme really looks rather old. #Beige and green looks rather drab, #the font choice also looks rather bad. #The pictures used on the left side look bad, especially the parkland red one really stands out and looks rather geocities-ish.# I would take all navigation on the page and put it toward the top to condense everything."
1043,There is a lack of privacy.  #It looks too much like Facebook's interface. # I'm worried about the site being used for illegal purposes.
1044,Leave a comment to let your friend know you enjoyed receiving their hard earned money.
1046,The overall color is not appealing and difficult to read.# I would change the entire color theme and consider much lighter background.
1048,I think this area is well done.  It is exactly what I would expect and is in line with other colleges.#  I like that it gives me choices of directed content based on who I am.
1048,"Not sure what this is for.  If this is custom content for current students it seems a little repetitive of the ""information for"" section above"
1048,"Campus events should be moved up and placed more centrally with brighter design.#  You could add the events listed on the left to make the space and bump ""in the news"" down there.  I think prospective and current students would be the most frequent visitors and would find this the most useful"
1048,"""grow"" doesn't really seem to fit the ""go ahead"" part of the design with the forward arrow. It's just kind of dangling here.  "
1048,Add a location & map link
1052,"The color purple makes me think Northwestern, not UofI.  I think you should use orange for school spirit.  #
Otherwise, I like the overall design. # I think the silhouette of the dancers could refined. # I can see some residual white edges around the purple. #  I would move the block of text starting with ""join us..."" down a little bit so its more evenly spaced between the text above and the bottom of the poster."
1053,I think its not a good practice that our friends can see my financial transaction. I wouldn't want my friends to see my financial transactions.
1056,"The font color in the bottom being grey is a little difficult to read,# also using numbers instead of words looks a little tacky.# The font used is too stock, and the photo is too clipart.# I think spending a little more and having a better artist illustrate something unique will be more captivating.  "
1058,Text should be bigger
1058,Image is too large
1058,These should be added the to the above links
1060,"seems clear and navigable.# bottom left (go ahead... need extra...) seems unnecessary, or at least could be replaced with a simple link. #The 'Go Ahead >' theme in general seems a bit over done. #Also, you might want to add info about student housing available in the area."
1062,there is too much green #and very less faces for representing different diversities .
1063,"I feel there are to many different shades of green.
"
1065,"The text beginning with ""Join us..."" is harder to read because of font color.# I like the design of the couple dancing; it's intriguing and let's me know what to expect.# ""Location TBD"" is off-putting. When will the location be determined, and how will that information be communicated?# I'm not crazy about the contrasting justification of the text blocks beginning with ""7 p.m. Friday..."" and ""Join us...""; it looks a bit sloppy."
1067,"Empty space on bottom left hand side, is not looking good.#
Purpose of ""Go Ahead"" on left hand side is defeated when it is already highlighted on the page.# Instead, increase the font size of topics under ""INFORMATION FOR"" and remove the ""Go Ahead"" on left hand side"".#
Otherwise good and simple design."
1071,"Looks outdated.# Background colors of black and purple are not eye-catching. #Information is hard to see, #needs larger font. "
1072,This looks very simple to use.
1072,I like that the amount is easy to find
1075,"I really like the poster,# but I think it would be beneficial to change the font size of the date and time to something that stands out (a bright, bold font would work well).#  Also, the September 1st date should really have a location prior to printing and hanging the posters. # Finally, the text at the bottom is very difficult to read due to the color of the font - that should be brightened."
